,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_Size,EBS_VolumeType,EBS_Iops,EBS_Throughput
10,SRR11653996,endometrium,66.2691,3936225218,26867333576,111,34737400,8,c7i.2xlarge,paired,i-060e2bc49bfb29008,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR11653996_salmon_normalized_counts.tsv,2024-05-14T11:22:38,2024-05-14T11:23:42,2024-05-14T11:23:42,2024-05-14T11:26:07,2024-05-14T11:26:07,2024-05-14T11:40:31,2024-05-14T11:40:31,2024-05-14T11:40:40,550,gp3,3000,500
11,SRR16212318,endometrium,30.8366,4753222096,45656261284,111,51127409,8,c7i.2xlarge,paired,i-08f6da575331e994d,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR16212318_salmon_normalized_counts.tsv,2024-05-14T11:18:24,2024-05-14T11:19:59,2024-05-14T11:19:59,2024-05-14T11:24:17,2024-05-14T11:24:17,2024-05-14T11:42:23,2024-05-14T11:42:23,2024-05-14T11:42:50,550,gp3,3000,500
12,SRR12235078,endothelium,88.8657,1315865469,6836599308,111,19431176,8,c7i.2xlarge,single,i-0cb226198d539b181,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR12235078_salmon_normalized_counts.tsv,2024-05-14T11:18:24,2024-05-14T11:18:50,2024-05-14T11:18:50,2024-05-14T11:19:14,2024-05-14T11:19:14,2024-05-14T11:22:12,2024-05-14T11:22:12,2024-05-14T11:22:32,550,gp3,3000,500
13,SRR21986285,endothelium,78.0252,617689140,4449293694,111,19204009,8,c7i.2xlarge,single,i-01822e015ebe0b63a,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR21986285_salmon_normalized_counts.tsv,2024-05-14T11:18:24,2024-05-14T11:18:41,2024-05-14T11:18:41,2024-05-14T11:19:01,2024-05-14T11:19:01,2024-05-14T11:22:03,2024-05-14T11:22:03,2024-05-14T11:22:24,550,gp3,3000,500
14,SRR14233734,endothelium,64.9836,404785467,2244972644,111,12442484,8,c7i.2xlarge,single,i-0423340cab1c0218c,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR14233734_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:32,2024-05-14T11:18:32,2024-05-14T11:18:39,2024-05-14T11:18:39,2024-05-14T11:22:51,2024-05-14T11:22:51,2024-05-14T11:23:09,550,gp3,3000,500
15,SRR16541622,endothelium,60.0297,462164864,3083482152,111,4047606,8,c7i.2xlarge,paired,i-0b4de2cd2c64a7aba,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR16541622_salmon_normalized_counts.tsv,2024-05-14T11:18:25,2024-05-14T11:18:33,2024-05-14T11:18:33,2024-05-14T11:18:52,2024-05-14T11:18:52,2024-05-14T11:21:54,2024-05-14T11:21:54,2024-05-14T11:22:14,550,gp3,3000,500
16,SRR6879134,endothelium,36.6584,8995876464,81048949452,111,117391579,8,c7i.2xlarge,paired,i-0a26e1e72945810c0,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR6879134_salmon_normalized_counts.tsv,2024-05-14T11:18:23,2024-05-14T11:21:15,2024-05-14T11:21:15,2024-05-14T11:28:39,2024-05-14T11:28:39,2024-05-14T11:45:54,2024-05-14T11:45:54,2024-05-14T11:46:16,550,gp3,3000,500
17,SRR1724263,epithelium,86.9412,308957579,1596629830,111,7301402,8,c7i.2xlarge,single,i-07f88a053de15befd,EC2,s3://neardata-other/Salmon/high_mapping_rate/epithelium/normalized_counts/SRR1724263_salmon_normalized_counts.tsv,2024-05-14T11:23:01,2024-05-14T11:23:08,2024-05-14T11:23:08,2024-05-14T11:23:14,2024-05-14T11:23:14,2024-05-14T11:24:27,2024-05-14T11:24:27,2024-05-14T11:24:35,550,gp3,3000,500
18,SRR18253073,epithelium,74.2179,341167589,1824622598,111,6894039,8,c7i.2xlarge,single,i-0d5721d1b71ed3de8,EC2,s3://neardata-other/Salmon/high_mapping_rate/epithelium/normalized_counts/SRR18253073_salmon_normalized_counts.tsv,2024-05-14T11:18:25,2024-05-14T11:18:32,2024-05-14T11:18:32,2024-05-14T11:18:35,2024-05-14T11:18:35,2024-05-14T11:20:48,2024-05-14T11:20:48,2024-05-14T11:21:08,550,gp3,3000,500
19,SRR7093856,fibroblasts,93.5747,472412659,3960475540,111,17262586,8,c7i.2xlarge,single,i-0d5721d1b71ed3de8,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR7093856_salmon_normalized_counts.tsv,2024-05-14T11:21:09,2024-05-14T11:21:19,2024-05-14T11:21:19,2024-05-14T11:21:32,2024-05-14T11:21:32,2024-05-14T11:23:11,2024-05-14T11:23:11,2024-05-14T11:23:22,550,gp3,3000,500
20,SRR8866763,fibroblasts,83.2194,780890977,5293829668,111,21878497,8,c7i.2xlarge,single,i-0a55b4be12d137df1,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR8866763_salmon_normalized_counts.tsv,2024-05-14T11:25:39,2024-05-14T11:25:56,2024-05-14T11:25:56,2024-05-14T11:26:11,2024-05-14T11:26:11,2024-05-14T11:28:52,2024-05-14T11:28:52,2024-05-14T11:29:03,550,gp3,3000,500
21,ERR5769920,fibroblasts,75.6196,1582690562,10595385740,111,15994423,8,c7i.2xlarge,paired,i-07f88a053de15befd,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/ERR5769920_salmon_normalized_counts.tsv,2024-05-14T11:18:23,2024-05-14T11:18:54,2024-05-14T11:18:54,2024-05-14T11:19:33,2024-05-14T11:19:33,2024-05-14T11:22:41,2024-05-14T11:22:41,2024-05-14T11:22:59,550,gp3,3000,500
22,SRR8981819,fibroblasts,74.8716,6421228614,37875218184,111,49432431,8,c7i.2xlarge,paired,i-039cec56e50f355cf,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR8981819_salmon_normalized_counts.tsv,2024-05-14T11:25:50,2024-05-14T11:27:54,2024-05-14T11:27:54,2024-05-14T11:31:20,2024-05-14T11:31:20,2024-05-14T11:40:05,2024-05-14T11:40:05,2024-05-14T11:40:16,550,gp3,3000,500
23,ERR3671311,heart_muscle,89.093,410926012,3436222438,111,14932640,8,c7i.2xlarge,single,i-000c63d06e44673fb,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/ERR3671311_salmon_normalized_counts.tsv,2024-05-14T11:21:28,2024-05-14T11:21:37,2024-05-14T11:21:37,2024-05-14T11:21:49,2024-05-14T11:21:49,2024-05-14T11:23:07,2024-05-14T11:23:07,2024-05-14T11:23:17,550,gp3,3000,500
24,SRR4240822,heart_muscle,59.9336,2554703581,16369328280,111,31800345,8,c7i.2xlarge,paired,i-000c63d06e44673fb,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR4240822_salmon_normalized_counts.tsv,2024-05-14T11:23:18,2024-05-14T11:24:09,2024-05-14T11:24:09,2024-05-14T11:25:31,2024-05-14T11:25:31,2024-05-14T11:28:19,2024-05-14T11:28:19,2024-05-14T11:28:29,550,gp3,3000,500
25,SRR16145819,heart_muscle,30.3346,2152535766,16629364226,111,51246194,8,c7i.2xlarge,single,i-0cb226198d539b181,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR16145819_salmon_normalized_counts.tsv,2024-05-14T11:22:33,2024-05-14T11:23:22,2024-05-14T11:23:22,2024-05-14T11:25:01,2024-05-14T11:25:01,2024-05-14T12:04:42,2024-05-14T12:04:42,2024-05-14T12:04:52,550,gp3,3000,500
26,SRR12503616,heart_muscle,30.3316,1720016748,13332049450,111,41099010,8,c7i.2xlarge,single,i-0d5721d1b71ed3de8,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR12503616_salmon_normalized_counts.tsv,2024-05-14T11:23:23,2024-05-14T11:23:43,2024-05-14T11:23:43,2024-05-14T11:24:44,2024-05-14T11:24:44,2024-05-14T11:57:04,2024-05-14T11:57:04,2024-05-14T11:57:15,550,gp3,3000,500
27,SRR1220504,intestine,69.1862,1360639506,6494987908,111,9586715,8,c7i.2xlarge,paired,i-0491764d537f7126f,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR1220504_salmon_normalized_counts.tsv,2024-05-14T11:22:59,2024-05-14T11:23:25,2024-05-14T11:23:25,2024-05-14T11:23:45,2024-05-14T11:23:45,2024-05-14T11:24:24,2024-05-14T11:24:24,2024-05-14T11:24:33,550,gp3,3000,500
28,SRR12495892,intestine,66.6271,1981200625,15452537308,111,20131381,8,c7i.2xlarge,paired,i-0b4de2cd2c64a7aba,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR12495892_salmon_normalized_counts.tsv,2024-05-14T11:24:17,2024-05-14T11:24:57,2024-05-14T11:24:57,2024-05-14T11:26:10,2024-05-14T11:26:10,2024-05-14T11:30:20,2024-05-14T11:30:20,2024-05-14T11:30:32,550,gp3,3000,500
29,SRR10600396,intestine,50.8838,11808688005,77111111184,111,100000000,8,c7i.2xlarge,paired,i-07f88a053de15befd,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR10600396_salmon_normalized_counts.tsv,2024-05-14T11:28:20,2024-05-14T11:31:59,2024-05-14T11:31:59,2024-05-14T11:39:05,2024-05-14T11:39:05,2024-05-14T12:12:52,2024-05-14T12:12:52,2024-05-14T12:13:02,550,gp3,3000,500
30,SRR11245149,intestine,33.6466,3886013024,17940220944,111,50603525,8,c7i.2xlarge,single,i-03d99b7e82398fdb1,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR11245149_salmon_normalized_counts.tsv,2024-05-14T11:24:15,2024-05-14T11:25:36,2024-05-14T11:25:36,2024-05-14T11:27:22,2024-05-14T11:27:22,2024-05-14T11:33:01,2024-05-14T11:33:01,2024-05-14T11:33:11,550,gp3,3000,500
31,SRR14132098,kidney_cells,92.1268,2007386141,13675145186,111,47970593,8,c7i.2xlarge,single,i-0a6d3457622040c66,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR14132098_salmon_normalized_counts.tsv,2024-05-14T11:26:24,2024-05-14T11:27:03,2024-05-14T11:27:03,2024-05-14T11:28:03,2024-05-14T11:28:03,2024-05-14T11:32:06,2024-05-14T11:32:06,2024-05-14T11:32:17,550,gp3,3000,500
32,SRR15269003,kidney_cells,89.6641,742089882,5432454912,111,7085083,8,c7i.2xlarge,paired,i-0a55b4be12d137df1,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR15269003_salmon_normalized_counts.tsv,2024-05-14T11:29:05,2024-05-14T11:29:20,2024-05-14T11:29:20,2024-05-14T11:29:33,2024-05-14T11:29:33,2024-05-14T11:31:03,2024-05-14T11:31:03,2024-05-14T11:31:14,550,gp3,3000,500
33,SRR15269032,kidney_cells,84.0504,641019564,4908559872,111,6402928,8,c7i.2xlarge,paired,i-09a4ad6b40f33af47,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR15269032_salmon_normalized_counts.tsv,2024-05-14T11:25:40,2024-05-14T11:25:48,2024-05-14T11:25:48,2024-05-14T11:26:01,2024-05-14T11:26:01,2024-05-14T11:27:22,2024-05-14T11:27:22,2024-05-14T11:27:32,550,gp3,3000,500
34,ERR6212760,kidney_cells,80.2907,285614284,1979491578,111,2943007,8,c7i.2xlarge,paired,i-0a2bcb3bce0706920,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/ERR6212760_salmon_normalized_counts.tsv,2024-05-14T11:27:28,2024-05-14T11:27:34,2024-05-14T11:27:34,2024-05-14T11:27:38,2024-05-14T11:27:38,2024-05-14T11:28:01,2024-05-14T11:28:01,2024-05-14T11:28:10,550,gp3,3000,500
35,SRR2895311,kidney_cells,71.3571,5364156270,51498502728,111,86956409,8,c7i.2xlarge,paired,i-01822e015ebe0b63a,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR2895311_salmon_normalized_counts.tsv,2024-05-14T11:22:25,2024-05-14T11:24:17,2024-05-14T11:24:17,2024-05-14T11:29:01,2024-05-14T11:29:01,2024-05-14T11:38:26,2024-05-14T11:38:26,2024-05-14T11:38:37,550,gp3,3000,500
36,SRR13444190,kidney_cells,52.8573,5254599524,41666530506,111,54210487,8,c7i.2xlarge,paired,i-06971bd715f981f87,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR13444190_salmon_normalized_counts.tsv,2024-05-14T11:26:16,2024-05-14T11:27:58,2024-05-14T11:27:58,2024-05-14T11:31:43,2024-05-14T11:31:43,2024-05-14T11:44:26,2024-05-14T11:44:26,2024-05-14T11:44:38,550,gp3,3000,500
37,SRR11476811,lymphoid_tissue,80.2172,2035144983,16879329712,111,21866261,8,c7i.2xlarge,paired,i-0a6d3457622040c66,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR11476811_salmon_normalized_counts.tsv,2024-05-14T11:18:23,2024-05-14T11:19:07,2024-05-14T11:19:07,2024-05-14T11:20:32,2024-05-14T11:20:32,2024-05-14T11:26:02,2024-05-14T11:26:02,2024-05-14T11:26:22,550,gp3,3000,500
38,SRR17010969,lymphoid_tissue,79.7525,2747624855,17412527292,111,23830171,8,c7i.2xlarge,paired,i-0423340cab1c0218c,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR17010969_salmon_normalized_counts.tsv,2024-05-14T11:23:11,2024-05-14T11:24:12,2024-05-14T11:24:12,2024-05-14T11:25:37,2024-05-14T11:25:37,2024-05-14T11:30:02,2024-05-14T11:30:02,2024-05-14T11:30:12,550,gp3,3000,500
39,SRR11476774,lymphoid_tissue,59.9643,1845113197,15122198768,111,19601917,8,c7i.2xlarge,paired,i-0a55b4be12d137df1,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR11476774_salmon_normalized_counts.tsv,2024-05-14T11:18:26,2024-05-14T11:19:04,2024-05-14T11:19:04,2024-05-14T11:20:18,2024-05-14T11:20:18,2024-05-14T11:25:16,2024-05-14T11:25:16,2024-05-14T11:25:37,550,gp3,3000,500
40,SRR9861664,nervous_cells,89.477,2670462437,19123935620,111,41598083,8,c7i.2xlarge,paired,i-09a4ad6b40f33af47,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR9861664_salmon_normalized_counts.tsv,2024-05-14T11:29:06,2024-05-14T11:29:38,2024-05-14T11:29:38,2024-05-14T11:31:15,2024-05-14T11:31:15,2024-05-14T11:35:30,2024-05-14T11:35:30,2024-05-14T11:35:40,550,gp3,3000,500
41,ERR2704987,nervous_cells,67.4795,246837660,1762528280,111,7720292,8,c7i.2xlarge,single,i-0491764d537f7126f,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/ERR2704987_salmon_normalized_counts.tsv,2024-05-14T11:21:05,2024-05-14T11:21:12,2024-05-14T11:21:12,2024-05-14T11:21:16,2024-05-14T11:21:16,2024-05-14T11:22:48,2024-05-14T11:22:48,2024-05-14T11:22:58,550,gp3,3000,500
42,ERR4318992,nervous_cells,66.1925,237357296,1651147620,111,7233452,8,c7i.2xlarge,single,i-0b4de2cd2c64a7aba,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/ERR4318992_salmon_normalized_counts.tsv,2024-05-14T11:22:15,2024-05-14T11:22:21,2024-05-14T11:22:21,2024-05-14T11:22:25,2024-05-14T11:22:25,2024-05-14T11:24:06,2024-05-14T11:24:06,2024-05-14T11:24:16,550,gp3,3000,500
43,SRR12564326,nervous_cells,55.1182,3309775028,16469889392,111,50423848,8,c7i.2xlarge,single,i-0a2bcb3bce0706920,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12564326_salmon_normalized_counts.tsv,2024-05-14T11:28:11,2024-05-14T11:29:14,2024-05-14T11:29:14,2024-05-14T11:30:49,2024-05-14T11:30:49,2024-05-14T11:42:16,2024-05-14T11:42:16,2024-05-14T11:42:26,550,gp3,3000,500
44,SRR12564321,nervous_cells,54.3476,3468073785,17452123142,111,53426602,8,c7i.2xlarge,single,i-000c63d06e44673fb,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12564321_salmon_normalized_counts.tsv,2024-05-14T11:28:31,2024-05-14T11:29:17,2024-05-14T11:29:17,2024-05-14T11:31:06,2024-05-14T11:31:06,2024-05-14T11:43:00,2024-05-14T11:43:00,2024-05-14T11:43:11,550,gp3,3000,500
45,SRR12520097,nervous_cells,43.5808,2039467098,10980000668,111,32264740,8,c7i.2xlarge,single,i-0423340cab1c0218c,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12520097_salmon_normalized_counts.tsv,2024-05-14T11:30:13,2024-05-14T11:30:41,2024-05-14T11:30:41,2024-05-14T11:31:15,2024-05-14T11:31:15,2024-05-14T12:02:43,2024-05-14T12:02:43,2024-05-14T12:02:53,550,gp3,3000,500
46,SRR9192586,ovarian_cells,31.0281,4533144880,33673177884,111,72586257,8,c7i.2xlarge,paired,i-0491764d537f7126f,EC2,s3://neardata-other/Salmon/high_mapping_rate/ovarian_cells/normalized_counts/SRR9192586_salmon_normalized_counts.tsv,2024-05-14T11:24:35,2024-05-14T11:25:36,2024-05-14T11:25:36,2024-05-14T11:28:37,2024-05-14T11:28:37,2024-05-14T11:38:30,2024-05-14T11:38:30,2024-05-14T11:38:40,550,gp3,3000,500
47,SRR22229936,prostate_tissue,78.1979,233512359,2449233886,111,8215687,8,c7i.2xlarge,single,i-09a4ad6b40f33af47,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR22229936_salmon_normalized_counts.tsv,2024-05-14T11:27:33,2024-05-14T11:27:36,2024-05-14T11:27:36,2024-05-14T11:27:41,2024-05-14T11:27:41,2024-05-14T11:28:56,2024-05-14T11:28:56,2024-05-14T11:29:05,550,gp3,3000,500
48,SRR1503857,prostate_tissue,73.2075,803243777,6725496356,111,27100725,8,c7i.2xlarge,single,i-07f88a053de15befd,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR1503857_salmon_normalized_counts.tsv,2024-05-14T11:24:36,2024-05-14T11:24:53,2024-05-14T11:24:53,2024-05-14T11:25:13,2024-05-14T11:25:13,2024-05-14T11:28:09,2024-05-14T11:28:09,2024-05-14T11:28:18,550,gp3,3000,500
49,SRR1260106,prostate_tissue,66.8353,469157628,3471696290,111,14414434,8,c7i.2xlarge,single,i-0f65d0e6163cde28e,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR1260106_salmon_normalized_counts.tsv,2024-05-14T11:27:57,2024-05-14T11:28:02,2024-05-14T11:28:02,2024-05-14T11:28:11,2024-05-14T11:28:11,2024-05-14T11:30:44,2024-05-14T11:30:44,2024-05-14T11:30:54,550,gp3,3000,500
